"","responseid","RMTQ","OPEN","CONSC","EXTRA","AGREE","NEURO","specism","RSE","selfcontrol","hightemp","socialt","solitaryt","riska","anxiety","avoidance","stress","socialdiversity","networksize","socialembedded","prejafr","rwa","lonely","SDO","DASS","WEMWBS","OVP","intuition","anxiety2","avoidance2","wellbeing","anxious","selfesteem","selfdiscipline","loneliness","sdo2","rightprej","impulsive","thoughtful","trusting","rwa2","stimulation","sociable","leader","empathic","STRAQ"
"16","R_1dytkTdU3rXf7UN",2.72222222222222,4.125,3.75,3.56521739130435,3.91666666666667,2.33333333333333,3.5,1.8,2.46153846153846,3,3.6,2.875,2.66666666666667,3.83333333333333,3.83333333333333,3.5,5,27,7,3.13333333333333,2.5,3.5,5,1.45,4.14285714285714,3.0625,7.5,3.875,3.83333333333333,3.83333333333333,1.8,1.72222222222222,3.72222222222222,3.5,5.18181818181818,3.15789473684211,3.46153846153846,3.63636363636364,3.4,2.46666666666667,4.6,3.55555555555556,3.76923076923077,4.28571428571429,3.1
"17","R_1E1gcIZRjzlBXqI",2.61111111111111,4.125,3.33333333333333,3.82608695652174,3.70833333333333,2.875,3.16666666666667,1.5,3.30769230769231,2.42857142857143,3.2,4,4.33333333333333,4.05555555555556,2.27777777777778,3,8,43,7,2.93333333333333,2.05,3.7,4.875,1.65,4.07142857142857,3.5625,6.5,4.3125,2.27777777777778,3.43333333333333,2.1,2,2.88888888888889,3.66666666666667,4.81818181818182,2.94736842105263,2.84615384615385,3.36363636363636,3.8,2.06666666666667,5,4.33333333333333,3.84615384615385,4.21428571428571,3.65
"18","R_1eKVDgD7DAceXOa",2.5,4.125,4.58333333333333,4.26086956521739,NA,2.58333333333333,2.33333333333333,1.8,1.53846153846154,3.57142857142857,4.2,2.75,4.33333333333333,2.88888888888889,1.27777777777778,3.42857142857143,7,34,6,3.53333333333333,2.65,3.7,6.5,1.75,4.14285714285714,2.25,6.5,3.125,1.27777777777778,3.33333333333333,2.8,1.94444444444444,4.61111111111111,3.66666666666667,6.45454545454545,3.42105263157895,NA,3.18181818181818,NA,2.66666666666667,4.6,4.33333333333333,3.84615384615385,4.92857142857143,3
"19","R_1eRyRcCMqgdj4pi",3.22222222222222,3.33333333333333,3.45833333333333,3.8695652173913,3.45833333333333,2.95833333333333,2.5,1.5,3.15384615384615,2,2,3.5,3.66666666666667,1.83333333333333,4.22222222222222,3.5,6,24,5,2.26666666666667,1.4,3.1,6.5625,2.1,4.28571428571429,3.3125,8.5,1.9375,4.22222222222222,3.6,2.4,1.44444444444444,3.61111111111111,3.11111111111111,6.45454545454545,2.36842105263158,2.15384615384615,3.90909090909091,2.6,1.13333333333333,3,3.44444444444444,3.92307692307692,3.92857142857143,3.3
"20","R_1F8oScwurg4d0wB",2.66666666666667,3.75,3.625,4,3.91666666666667,2.20833333333333,4.5,2,2.69230769230769,2.42857142857143,2.2,3.125,3,2.83333333333333,4.27777777777778,4.07142857142857,8,55,6,2.73333333333333,3.65,3.6,6,1.2,4.07142857142857,2.9375,4.5,2.75,4.27777777777778,4.06666666666667,1.6,1.94444444444444,3.38888888888889,3.61111111111111,5.81818181818182,2.68421052631579,3.69230769230769,3.27272727272727,2.6,3.6,4.4,3.88888888888889,3.84615384615385,4.21428571428571,3.05
"21","R_1fkjXgTGM28yGMK",2.5,3.5,3.66666666666667,2.78260869565217,NA,3.75,1.5,2.6,3,3.57142857142857,2.2,3.25,3.66666666666667,2.61111111111111,2.5,2.57142857142857,7,17,6,3.13333333333333,2.65,2.7,6.1875,3.25,2.85714285714286,2.5625,6.5,2.375,2.5,2.33333333333333,3.8,3,3.55555555555556,2.77777777777778,6.36363636363636,2.89473684210526,3.15384615384615,2.72727272727273,2.4,2.4,2.8,1.88888888888889,3.23076923076923,3.92857142857143,2.7
"22","R_1Fnblt8AzTnvqn2",2.44444444444444,3.54166666666667,3.16666666666667,2.69565217391304,3.625,3.54166666666667,1,2.5,3.61538461538462,4,3,2.5,4,3.05555555555556,2.22222222222222,2.35714285714286,7,17,5,3.93333333333333,2.55,2.55,5.75,2.3,2.35714285714286,2.5625,7.75,3.0625,2.22222222222222,2.33333333333333,2.6,2.83333333333333,3.22222222222222,2.55555555555556,5.81818181818182,3.78947368421053,2.53846153846154,2.90909090909091,3,2.4,4.2,2.33333333333333,2.76923076923077,4.14285714285714,2.45
"23","R_1gejNnImACxzQF3",2.61111111111111,3.95833333333333,3.08333333333333,2.65217391304348,4.16666666666667,3.41666666666667,1.83333333333333,2.7,3.07692307692308,3.85714285714286,3,3.5,3.66666666666667,4.33333333333333,4.11111111111111,2.64285714285714,6,20,5,2.73333333333333,2.05,2.55,6.125,2.85,3,2.8125,6.75,4.375,4.11111111111111,2.6,3.8,3,2.88888888888889,2.61111111111111,6.09090909090909,2.68421052631579,3.30769230769231,3.45454545454545,2.6,1.86666666666667,4,2.33333333333333,3.07692307692308,4.85714285714286,2.9
"24","R_1gItYQ6kOVvAdsf",2.72222222222222,4,3.58333333333333,3.52173913043478,4.20833333333333,1.95833333333333,3.83333333333333,1.3,2.69230769230769,1.28571428571429,2.6,4.625,3.33333333333333,2.38888888888889,2.27777777777778,4.71428571428571,5,19,6,2.2,1.6,3.45,6.0625,1.05,3.92857142857143,3.6875,7.25,2.5,2.27777777777778,4.33333333333333,1.7,1.55555555555556,2.94444444444444,3.44444444444444,5.72727272727273,2.05263157894737,4.23076923076923,3.36363636363636,2.6,1.53333333333333,4.2,3.88888888888889,3.46153846153846,4.5,4.15
"25","R_1GJqhh6oeSUzzC9",2.94444444444444,3.625,3.75,3.60869565217391,3.625,2.75,3.16666666666667,2.2,2.38461538461538,4.28571428571429,3,2.375,3,4.77777777777778,2.16666666666667,2.21428571428571,7,18,5,4.13333333333333,3.45,2.65,4.625,2.8,2.92857142857143,2.6875,4.25,4.9375,2.16666666666667,2.36666666666667,3.2,2.5,3.66666666666667,2.61111111111111,4.63636363636364,4,4,3.72727272727273,2.8,3.26666666666667,3.8,3.77777777777778,3.30769230769231,3.71428571428571,2.3
"26","R_1GuZzZbMsbQTSFY",3.16666666666667,3.95833333333333,2.66666666666667,3.52173913043478,3.58333333333333,2.25,2.33333333333333,1.2,2.84615384615385,3.57142857142857,2.8,2.25,3,2.88888888888889,1.33333333333333,3.92857142857143,6,26,7,3.86666666666667,2,3.75,4.6875,1.45,4.21428571428571,3.1875,5,2.75,1.33333333333333,3.76666666666667,1.5,1.38888888888889,1.94444444444444,3.77777777777778,5,3.63157894736842,3.38461538461538,3.72727272727273,3.8,1.86666666666667,3.8,4.11111111111111,3.84615384615385,3.14285714285714,2.45
"27","R_1HeDfF4gMHXRhVm",2.44444444444444,3.79166666666667,2.79166666666667,3.8695652173913,3.33333333333333,4.54166666666667,1.83333333333333,3.2,4.07692307692308,2.57142857142857,3.4,3.75,3.66666666666667,5.38888888888889,3.05555555555556,2.35714285714286,7,43,7,2.86666666666667,NA,3.05,5.5625,3.65,2.78571428571429,1.8125,6.75,5.25,3.05555555555556,2,4.4,3.66666666666667,2.44444444444444,3,5.81818181818182,2.78947368421053,2.53846153846154,3.18181818181818,2.8,NA,3.8,4.11111111111111,3,4.35714285714286,3.55
"28","R_1hFu78lX2wfhTtP",2.77777777777778,3.91666666666667,3.16666666666667,3.52173913043478,3.75,3.41666666666667,1.16666666666667,2.3,3.07692307692308,3.71428571428571,3.2,4.75,2.66666666666667,4.77777777777778,4.05555555555556,2.42857142857143,7,50,7,4.13333333333333,3.2,2.25,5.5,3.25,2.92857142857143,1.6875,8,4.8125,4.05555555555556,2.4,3.9,2.77777777777778,3.11111111111111,2.16666666666667,5.90909090909091,4.05263157894737,3.07692307692308,3.09090909090909,2,3,4.4,3,3.53846153846154,4.85714285714286,3.5
"29","R_1hGPr33qCHsB1l6",2.5,3.54166666666667,4.75,3.43478260869565,4.25,1.95833333333333,1,1,1.46153846153846,2.71428571428571,1.8,2.25,1.33333333333333,1.66666666666667,1.61111111111111,2.35714285714286,5,16,6,2.26666666666667,1.2,2.95,6.875,1.5,3.28571428571429,2.8125,8.5,1.75,1.61111111111111,2.7,1.5,1.11111111111111,4.66666666666667,2.94444444444444,7,2.21052631578947,4.69230769230769,2.36363636363636,3.4,0.933333333333333,4,3.44444444444444,4.61538461538461,4.14285714285714,2.5
"30","R_1Hkk0iZc8XukRXA",2.33333333333333,4.25,2.58333333333333,2.91304347826087,4.04166666666667,3.33333333333333,1.33333333333333,3,3.30769230769231,3,3.2,4,4,4,4.11111111111111,2.35714285714286,7,28,5,1,1.95,2.45,6.5625,2.3,2.64285714285714,2.5,7,3.875,4.11111111111111,2.46666666666667,3.1,3.38888888888889,2.55555555555556,2.5,6.81818181818182,1.21052631578947,3.30769230769231,3.27272727272727,3.2,1.66666666666667,4.8,2.22222222222222,2.46153846153846,4.85714285714286,3.45
"31","R_1hWGRBkLc9yMH9D",2.16666666666667,3.875,3.91666666666667,3.52173913043478,4.45833333333333,2.375,3.33333333333333,1.8,2.84615384615385,2.85714285714286,1.2,3,2.66666666666667,2.94444444444444,3.16666666666667,3.28571428571429,7,17,5,3.73333333333333,2.35,3.5,6.4375,1.6,3.57142857142857,2.9375,6.75,2.8125,3.16666666666667,3.5,2,1.83333333333333,3.55555555555556,3.5,6.54545454545455,3.31578947368421,3.76923076923077,2.54545454545455,3.8,2.06666666666667,4.2,3.66666666666667,3.46153846153846,4.57142857142857,2.6
"32","R_1i8PMKgSv1hnAaK",2.22222222222222,3.16666666666667,4.16666666666667,3.1304347826087,3.375,2.91666666666667,2.66666666666667,1.8,2.30769230769231,2.85714285714286,3,3.625,3.66666666666667,3.22222222222222,2.33333333333333,3.42857142857143,5,13,5,3.66666666666667,3.55,2.65,4,1.55,3.85714285714286,2.75,6.5,3,2.33333333333333,3.53333333333333,2.1,1.94444444444444,3.77777777777778,2.66666666666667,4.72727272727273,4.05263157894737,3.69230769230769,2,1.8,3.73333333333333,4.6,2.11111111111111,4.15384615384615,3.35714285714286,3.3
"33","R_1ifyHuNOxA15fFT",2.61111111111111,3.54166666666667,3.125,4,3.5,2.79166666666667,2.5,2.1,2.84615384615385,2.57142857142857,4.4,3.75,3.66666666666667,4.16666666666667,3.77777777777778,2.85714285714286,5,25,7,3.46666666666667,2.85,3.85,4.5625,1.8,3.85714285714286,2.9375,7,4.1875,3.77777777777778,3.16666666666667,2.4,2.05555555555556,2.94444444444444,3.83333333333333,4.81818181818182,3.42105263157895,2.53846153846154,3.09090909090909,3.6,2.8,3.4,4.33333333333333,3.61538461538462,3.92857142857143,3.8
"34","R_1ifzS9MIh4TySeg",3,4.125,3.70833333333333,3.8695652173913,3.95833333333333,2.75,2.16666666666667,1.8,3.23076923076923,3.42857142857143,4.4,4.125,3.66666666666667,3.66666666666667,3.72222222222222,3.64285714285714,5,18,6,1.93333333333333,1.3,3.2,6.625,1.6,4.14285714285714,3.25,7,3.75,3.72222222222222,3.9,2.2,2.22222222222222,2.94444444444444,3.22222222222222,6.45454545454545,2.15789473684211,3.76923076923077,3.36363636363636,4.2,1.33333333333333,5,3.77777777777778,3.46153846153846,4.35714285714286,3.65
"35","R_1IY3rV6xu5nkmDV",2.11111111111111,3.66666666666667,2.83333333333333,1.39130434782609,3.45833333333333,4.375,2.16666666666667,3.3,2.69230769230769,2.85714285714286,1.8,3.375,4.66666666666667,4.16666666666667,4,1.64285714285714,5,9,5,3.6,2.7,2.55,6.375,3.35,1.92857142857143,1.375,7.25,4.1875,4,1.63333333333333,4,3.83333333333333,2.83333333333333,2.55555555555556,6.18181818181818,3.36842105263158,4.23076923076923,3,1.4,2.46666666666667,4,1,1.30769230769231,4.28571428571429,2.9
"36","R_1j6ZfuzQDKV3tvf",2,3.16666666666667,3.625,3.04347826086957,3.95833333333333,2.95833333333333,2.16666666666667,2.4,2.23076923076923,3.42857142857143,2,3.875,3.66666666666667,3.94444444444444,1.61111111111111,3.14285714285714,6,19,7,4,3.15,3.15,5.625,1.75,2.85714285714286,2.5625,7.75,4.0625,1.61111111111111,3.16666666666667,2.6,2.55555555555556,3.22222222222222,3.16666666666667,5.54545454545455,3.89473684210526,3.69230769230769,2.18181818181818,3.2,2.93333333333333,3,3,3.38461538461538,4.14285714285714,2.95
"37","R_1j7XgAWTcHniDw0",3.27777777777778,3.875,4.58333333333333,3.21739130434783,4,3.04166666666667,3.16666666666667,2.4,2.76923076923077,3.85714285714286,4.4,3.75,4,3.16666666666667,2.16666666666667,3.28571428571429,7,30,6,3.33333333333333,2.5,2.7,4.3125,2.5,4,2.625,3,3.0625,2.16666666666667,3.2,3.2,2.88888888888889,3.94444444444444,2.72222222222222,3.63636363636364,3.21052631578947,4.46153846153846,3.63636363636364,2.2,2.4,4.4,3.44444444444444,3.38461538461538,4.71428571428571,3.35
"38","R_1kFddZZM3DojYOk",2.5,3.70833333333333,3.66666666666667,3.04347826086957,3.375,2.41666666666667,1.33333333333333,1.2,2.46153846153846,2.57142857142857,2.4,3.75,4,2.88888888888889,NA,4,6,16,5,2.73333333333333,2.4,NA,5.4375,1.5,3.64285714285714,3.25,NA,3.0625,NA,3.86666666666667,1.9,1.44444444444444,3.5,NA,5.18181818181818,2.68421052631579,2.92307692307692,2.72727272727273,2.2,2.46666666666667,4.2,2.77777777777778,3.53846153846154,4.07142857142857,3.3
"39","R_1laROyt3jOsDUZ5",2.72222222222222,4.29166666666667,3.83333333333333,4.08695652173913,3.95833333333333,2.83333333333333,1.16666666666667,2.5,2.46153846153846,3.85714285714286,3.8,3.5,4.33333333333333,3.55555555555556,5.05555555555556,3.71428571428571,5,21,6,3.26666666666667,2.35,2.65,5.6875,1.25,4.14285714285714,3.125,7,3.4375,5.05555555555556,3.96666666666667,2.5,2.83333333333333,3.77777777777778,2.61111111111111,5.63636363636364,2.94736842105263,2.69230769230769,3.45454545454545,3.8,2.13333333333333,4.2,4.55555555555556,4.46153846153846,4.85714285714286,3.1
"40","R_1LhQJegb35Q3cix",2.44444444444444,4.04166666666667,2.66666666666667,2.91304347826087,4,3.04166666666667,3.16666666666667,2.4,3,3.85714285714286,2,3.375,4,3.5,4.22222222222222,2.71428571428571,5,16,5,4,2.7,3.25,5.5,1.85,3.64285714285714,3.6875,7.5,3.4375,4.22222222222222,3.1,2.2,2.44444444444444,2.11111111111111,3.27777777777778,6,3.84210526315789,3.92307692307692,3.63636363636364,2.4,2.8,4.8,3.33333333333333,2,4.28571428571429,2.6
"41","R_1LOsoX80V7mCbru",2.72222222222222,2.75,2.33333333333333,2.95652173913043,3.45833333333333,2.54166666666667,3.66666666666667,2.1,3.30769230769231,2.85714285714286,2.8,3,3,4,3.16666666666667,3.07142857142857,6,30,6,2.73333333333333,2.6,2.85,4.875,2.1,3.28571428571429,NA,7.5,4,3.16666666666667,3.16666666666667,1.7,2.33333333333333,2.05555555555556,2.88888888888889,5.18181818181818,2.89473684210526,2.92307692307692,3.63636363636364,3,2.33333333333333,1.6,3,2.53846153846154,3.57142857142857,3
"42","R_1LuO3RVmLAY6MZD",2.83333333333333,3.45833333333333,NA,NA,3,NA,4.5,1.1,3.23076923076923,2.28571428571429,3.4,NA,1.66666666666667,3.44444444444444,2.77777777777778,2.35714285714286,7,25,6,3.73333333333333,3.6,3.2,4.4375,2.8,3.57142857142857,2.8125,4.75,3.375,2.77777777777778,2.66666666666667,3.1,2,NA,3.11111111111111,4.45454545454545,3.42105263157895,NA,3.45454545454545,2.8,3.26666666666667,3.4,NA,3.30769230769231,3.21428571428571,NA
"43","R_1LZZ7cbhKr4GLkZ",2.16666666666667,3.33333333333333,4.125,3,3.75,2.58333333333333,2.16666666666667,1.7,2.15384615384615,3.57142857142857,1.6,3.5,3.66666666666667,3.77777777777778,3.38888888888889,3.5,5,25,6,1.86666666666667,2.65,3.25,5.1875,1.6,3.21428571428571,3.125,3.75,3.8125,3.38888888888889,3.43333333333333,2.6,1.88888888888889,4,3.38888888888889,5.45454545454545,2.05263157894737,3.69230769230769,2.36363636363636,2.2,2.73333333333333,4,2.22222222222222,3.92307692307692,4.21428571428571,2.65
"44","R_1M4WUZF9bnkrufD",2.77777777777778,4.125,4.29166666666667,3.1304347826087,4.41666666666667,2.70833333333333,1.5,2.3,2.07692307692308,3.71428571428571,4.6,4.25,3.33333333333333,4.5,1.5,2.71428571428571,6,16,5,1.33333333333333,2,3.55,5.5625,2.35,3.21428571428571,2.625,4.5,4.5625,1.5,3.03333333333333,3,2.55555555555556,3.88888888888889,3.66666666666667,5.27272727272727,1.57894736842105,4.38461538461539,2.90909090909091,3.6,1.8,4.8,3.55555555555556,3.76923076923077,4.71428571428571,3.65
"45","R_1mhpmWKcStiXkc4",3,3.45833333333333,3.66666666666667,2.39130434782609,2.95833333333333,3.79166666666667,4,2.5,2.61538461538462,1.85714285714286,3.2,3.125,4.66666666666667,5.5,1.16666666666667,3.07142857142857,6,23,5,4.4,3.05,1.85,5.6875,1.7,3.35714285714286,1.9375,6.75,5.3125,1.16666666666667,3.06666666666667,3.2,3.05555555555556,3.77777777777778,1.77777777777778,5.63636363636364,4.15789473684211,3.07692307692308,4.18181818181818,1,3,2.8,1.66666666666667,4,3.71428571428571,3.5
"46","R_1mkH2m0aLrjqVZQ",2.61111111111111,3.25,3.83333333333333,3,3.91666666666667,3.625,1.5,2.6,3.30769230769231,3.57142857142857,3.4,2.625,4,4.38888888888889,4.66666666666667,2.42857142857143,6,11,5,3.2,1.9,2.6,5.9375,2,3.14285714285714,2,5.5,4.3125,4.66666666666667,2.63333333333333,2.5,2.77777777777778,3.38888888888889,2.66666666666667,6.45454545454545,3.31578947368421,3.23076923076923,2.63636363636364,3,1.93333333333333,3.6,1.55555555555556,3.76923076923077,4.64285714285714,2.75
"47","R_1MNbQyRs6GsjILI",3.16666666666667,3.625,3.58333333333333,2.60869565217391,3.91666666666667,3.33333333333333,3.5,2.6,2.53846153846154,2.42857142857143,3.6,4.25,4.33333333333333,4.44444444444444,2.33333333333333,2.57142857142857,7,25,4,3.4,3.3,2,5.1875,2.05,2.92857142857143,2.3125,7.25,4.5625,2.33333333333333,2.73333333333333,2.8,2.94444444444444,3.55555555555556,2.05555555555556,5.09090909090909,3.42105263157895,3.92307692307692,4.18181818181818,1.6,3.4,4.4,2.11111111111111,2.69230769230769,4.64285714285714,3.85
"48","R_1NhmQqZUEIo7EeJ",3,3.29166666666667,NA,3.60869565217391,3.16666666666667,3.375,3,2.5,3.07692307692308,3.57142857142857,3.8,3.5,3.66666666666667,2.61111111111111,1.38888888888889,2.28571428571429,7,17,6,5.66666666666667,3.1,3.1,5.875,2,3.71428571428571,2.75,6.5,2.75,1.38888888888889,2.9,3.3,2.55555555555556,2.5,3.05555555555556,6.72727272727273,5.42105263157895,3.38461538461538,3.45454545454545,3,3.33333333333333,3.8,3.55555555555556,NA,3.57142857142857,3.2
