"","responseid","x","q55_1","q55_2","q55_3","q55_4","q55_5","q55_6","q55_7","hightemp","x.x","q55_13","q55_14","q55_15","q55_16","q55_17","q55_18","q55_19","q55_20","solitaryt","x.y","q55_8","q55_9","q55_10","q55_11","q55_12","socialt","q53_97","q53_98","q53_93","q53_99","q53_100","q53_101","q53_102","q53_104","q53_89","q53_91","q53_86","q53_79","q53_77","q53_94","q53_75","q53_73","q53_71","q53_69","avoidance","q53_1","q53_70","q53_72","q53_74","q53_76","q53_78","q53_80","q53_81","q53_82","q53_83","q53_84","q53_85","q53_87","q53_88","q53_90","q53_92","q53_95","q53_96","anxiety","STRAQ","anxiety2","avoidance2","wellbeing","anxious","selfesteem","selfdiscipline","loneliness","sdo2","rightprej","impulsive","thoughtful","trusting","rwa2","stimulation","sociable","leader","empathic"
"11","R_1CjerfUxFljTQKX",116,3,2,3,4,3,4,4,3.28571428571429,116,4,2,3,4,3,4,4,3,3.375,116,4,5,4,4,4,4.2,4,1,7,5,3,3,2,5,5,3,4,2,1,3,7,7,5,4,3.94444444444444,7,7,7,7,5,7,6,6,7,4,7,6,5,5,7,5,7,2,5.94444444444444,3.35,6.125,3.94444444444444,2.13333333333333,4.1,3.27777777777778,3.22222222222222,2.83333333333333,4.90909090909091,2.21052631578947,3.69230769230769,3.36363636363636,1.8,1.53333333333333,5,2,3.46153846153846,5
"12","R_1cYpBcolxz96Lf4",119,4,2,4,4,4,3,2,3.28571428571429,119,5,4,3,5,5,5,3,3,4.125,119,4,4,5,4,3,4,2,1,1,1,1,3,1,2,2,1,1,1,1,1,2,1,2,2,1.44444444444444,4,1,4,2,7,1,2,3,2,1,3,1,5,2,4,4,2,1,2.72222222222222,3.6,2.875,1.44444444444444,3.73333333333333,1.9,1.44444444444444,3.88888888888889,3.88888888888889,5.45454545454545,3.73684210526316,4.53846153846154,2.18181818181818,4.2,3.8,3.2,3.88888888888889,3.46153846153846,4.85714285714286
"13","R_1dGZna3ZyWeIEtY",219,5,1,2,3,2,2,1,2.28571428571429,219,5,5,5,4,5,2,5,1,4,219,1,2,1,5,3,2.4,1,2,2,1,2,2,2,2,2,2,2,1,1,1,5,2,1,3,1.88888888888889,6,2,1,5,2,2,5,2,2,1,2,2,2,1,1,2,2,7,2.61111111111111,3.5,2.375,1.88888888888889,3.73333333333333,1.8,1.72222222222222,2.94444444444444,3.61111111111111,6,2.52631578947368,2.38461538461538,4.09090909090909,3.4,1.8,4.2,3.88888888888889,3.92307692307692,4.14285714285714
"14","R_1dM2oQRCFR0NZh9",81,2,2,1,2,3,2,1,1.85714285714286,81,5,4,4,4,5,5,2,3,4,81,1,1,1,1,1,1,4,6,5,4,4,5,6,6,5,4,4,5,4,6,6,5,4,5,4.88888888888889,3,2,3,3,4,5,2,3,3,4,3,1,4,1,3,3,3,3,2.94444444444444,3.3,2.9375,4.88888888888889,2.63333333333333,2.6,2.88888888888889,2.33333333333333,2.38888888888889,6.27272727272727,1.52631578947368,4,3.18181818181818,2.2,1.53333333333333,4.2,2,3.38461538461538,2.92857142857143
"15","R_1Dq05z3c9915bL0",223,1,2,3,2,2,2,1,1.85714285714286,223,5,4,4,4,5,5,5,4,4.5,223,3,4,4,4,4,3.8,5,3,1,1,7,1,1,2,7,1,1,2,1,2,1,1,2,2,2.27777777777778,5,5,1,2,1,5,6,7,6,1,6,1,1,2,5,5,6,2,3.72222222222222,4.2,3.6875,2.27777777777778,2.93333333333333,2.6,2.72222222222222,2.55555555555556,3.33333333333333,6.09090909090909,2.57894736842105,4.23076923076923,3.27272727272727,3.2,1.53333333333333,3.8,3.66666666666667,2.76923076923077,4.85714285714286
"16","R_1dytkTdU3rXf7UN",246,2,3,4,4,2,2,4,3,246,3,3,3,3,2,3,3,3,2.875,246,3,3,4,3,5,3.6,4,4,4,4,4,2,3,4,4,4,4,4,4,5,3,4,4,4,3.83333333333333,4,3,4,3,4,4,4,5,4,4,3,4,4,4,4,4,3,4,3.83333333333333,3.1,3.875,3.83333333333333,3.83333333333333,1.8,1.72222222222222,3.72222222222222,3.5,5.18181818181818,3.15789473684211,3.46153846153846,3.63636363636364,3.4,2.46666666666667,4.6,3.55555555555556,3.76923076923077,4.28571428571429
"17","R_1E1gcIZRjzlBXqI",96,5,1,2,2,2,4,1,2.42857142857143,96,4,3,3,4,3,5,5,5,4,96,2,3,3,5,3,3.2,2,2,3,1,2,3,1,2,2,4,2,3,2,1,2,2,2,5,2.27777777777778,5,5,4,3,7,4,5,4,5,6,5,3,3,2,3,5,3,1,4.05555555555556,3.65,4.3125,2.27777777777778,3.43333333333333,2.1,2,2.88888888888889,3.66666666666667,4.81818181818182,2.94736842105263,2.84615384615385,3.36363636363636,3.8,2.06666666666667,5,4.33333333333333,3.84615384615385,4.21428571428571
"18","R_1eKVDgD7DAceXOa",171,4,3,3,4,3,5,3,3.57142857142857,171,3,2,4,1,4,3,2,3,2.75,171,3,5,3,5,5,4.2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1.27777777777778,3,4,2,5,7,4,3,3,3,1,7,2,1,2,1,2,1,1,2.88888888888889,3,3.125,1.27777777777778,3.33333333333333,2.8,1.94444444444444,4.61111111111111,3.66666666666667,6.45454545454545,3.42105263157895,NA,3.18181818181818,NA,2.66666666666667,4.6,4.33333333333333,3.84615384615385,4.92857142857143
"19","R_1eRyRcCMqgdj4pi",58,1,2,2,2,2,4,1,2,58,1,4,3,4,4,4,4,4,3.5,58,3,1,2,2,2,2,7,7,2,7,5,6,3,3,3,3,2,4,4,7,3,2,3,5,4.22222222222222,1,3,2,1,1,1,1,2,1,1,1,2,1,3,5,5,1,1,1.83333333333333,3.3,1.9375,4.22222222222222,3.6,2.4,1.44444444444444,3.61111111111111,3.11111111111111,6.45454545454545,2.36842105263158,2.15384615384615,3.90909090909091,2.6,1.13333333333333,3,3.44444444444444,3.92307692307692,3.92857142857143
"20","R_1F8oScwurg4d0wB",214,3,2,2,4,2,2,2,2.42857142857143,214,3,2,4,2,4,4,4,2,3.125,214,2,3,2,2,2,2.2,5,5,4,3,4,5,5,6,2,3,3,5,5,5,5,5,4,3,4.27777777777778,3,3,2,2,4,2,5,4,5,1,2,2,2,2,2,3,5,2,2.83333333333333,3.05,2.75,4.27777777777778,4.06666666666667,1.6,1.94444444444444,3.38888888888889,3.61111111111111,5.81818181818182,2.68421052631579,3.69230769230769,3.27272727272727,2.6,3.6,4.4,3.88888888888889,3.84615384615385,4.21428571428571
"21","R_1fkjXgTGM28yGMK",14,3,4,4,4,4,4,2,3.57142857142857,14,3,3,3,3,3,4,4,3,3.25,14,2,3,2,2,2,2.2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,6,2,2,3,2.5,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,4,4,5,2.61111111111111,2.7,2.375,2.5,2.33333333333333,3.8,3,3.55555555555556,2.77777777777778,6.36363636363636,2.89473684210526,3.15384615384615,2.72727272727273,2.4,2.4,2.8,1.88888888888889,3.23076923076923,3.92857142857143
"22","R_1Fnblt8AzTnvqn2",229,4,4,5,4,4,5,2,4,229,3,2,2,2,3,3,4,1,2.5,229,2,4,3,3,3,3,2,2,2,1,2,2,1,3,2,3,3,2,2,2,3,3,2,3,2.22222222222222,4,3,3,4,4,5,3,2,3,3,4,2,2,1,4,2,4,2,3.05555555555556,2.45,3.0625,2.22222222222222,2.33333333333333,2.6,2.83333333333333,3.22222222222222,2.55555555555556,5.81818181818182,3.78947368421053,2.53846153846154,2.90909090909091,3,2.4,4.2,2.33333333333333,2.76923076923077,4.14285714285714
"23","R_1gejNnImACxzQF3",63,5,2,5,5,3,5,2,3.85714285714286,63,1,3,4,2,4,5,5,4,3.5,63,4,1,3,4,3,3,3,4,5,5,5,3,2,4,4,4,5,4,4,3,4,5,4,6,4.11111111111111,3,3,3,4,6,5,5,5,6,6,3,5,4,2,5,5,5,3,4.33333333333333,2.9,4.375,4.11111111111111,2.6,3.8,3,2.88888888888889,2.61111111111111,6.09090909090909,2.68421052631579,3.30769230769231,3.45454545454545,2.6,1.86666666666667,4,2.33333333333333,3.07692307692308,4.85714285714286
"24","R_1gItYQ6kOVvAdsf",152,1,1,1,2,1,2,1,1.28571428571429,152,5,5,5,5,4,5,5,3,4.625,152,1,3,2,4,3,2.6,2,2,3,2,1,2,2,3,3,2,3,3,3,1,4,2,1,2,2.27777777777778,4,2,3,1,4,3,3,3,4,3,4,1,2,1,1,1,2,1,2.38888888888889,4.15,2.5,2.27777777777778,4.33333333333333,1.7,1.55555555555556,2.94444444444444,3.44444444444444,5.72727272727273,2.05263157894737,4.23076923076923,3.36363636363636,2.6,1.53333333333333,4.2,3.88888888888889,3.46153846153846,4.5
"25","R_1GJqhh6oeSUzzC9",101,5,3,4,5,4,5,4,4.28571428571429,101,2,2,3,3,1,4,2,2,2.375,101,2,3,4,4,2,3,1,1,7,1,4,3,1,2,3,1,1,1,1,2,3,2,3,2,2.16666666666667,6,5,5,5,7,5,7,4,4,3,7,5,3,4,5,4,5,2,4.77777777777778,2.3,4.9375,2.16666666666667,2.36666666666667,3.2,2.5,3.66666666666667,2.61111111111111,4.63636363636364,4,4,3.72727272727273,2.8,3.26666666666667,3.8,3.77777777777778,3.30769230769231,3.71428571428571
"26","R_1GuZzZbMsbQTSFY",113,4,4,4,5,4,2,2,3.57142857142857,113,5,1,1,1,2,3,2,3,2.25,113,3,4,3,1,3,2.8,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1.33333333333333,2,2,2,3,3,2,5,1,5,2,4,1,2,3,2,5,6,2,2.88888888888889,2.45,2.75,1.33333333333333,3.76666666666667,1.5,1.38888888888889,1.94444444444444,3.77777777777778,5,3.63157894736842,3.38461538461538,3.72727272727273,3.8,1.86666666666667,3.8,4.11111111111111,3.84615384615385,3.14285714285714
"27","R_1HeDfF4gMHXRhVm",197,5,1,2,2,3,3,2,2.57142857142857,197,3,4,2,4,3,5,5,4,3.75,197,4,3,4,2,4,3.4,3,2,5,3,2,2,2,5,5,3,2,2,3,2,2,5,2,5,3.05555555555556,6,5,5,6,6,6,5,5,6,4,7,5,5,5,4,4,6,7,5.38888888888889,3.55,5.25,3.05555555555556,2,4.4,3.66666666666667,2.44444444444444,3,5.81818181818182,2.78947368421053,2.53846153846154,3.18181818181818,2.8,NA,3.8,4.11111111111111,3,4.35714285714286
"28","R_1hFu78lX2wfhTtP",192,5,4,2,5,4,5,1,3.71428571428571,192,5,5,5,5,5,5,4,4,4.75,192,1,4,1,5,5,3.2,6,3,4,4,4,3,4,4,4,4,5,4,2,4,4,6,3,5,4.05555555555556,5,3,4,3,5,7,3,7,7,7,4,6,4,1,4,7,7,2,4.77777777777778,3.5,4.8125,4.05555555555556,2.4,3.9,2.77777777777778,3.11111111111111,2.16666666666667,5.90909090909091,4.05263157894737,3.07692307692308,3.09090909090909,2,3,4.4,3,3.53846153846154,4.85714285714286
"29","R_1hGPr33qCHsB1l6",79,4,2,5,4,1,1,2,2.71428571428571,79,4,1,1,1,4,3,2,2,2.25,79,2,4,1,1,1,1.8,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,3,1.61111111111111,2,3,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1.66666666666667,2.5,1.75,1.61111111111111,2.7,1.5,1.11111111111111,4.66666666666667,2.94444444444444,7,2.21052631578947,4.69230769230769,2.36363636363636,3.4,0.933333333333333,4,3.44444444444444,4.61538461538461,4.14285714285714
"30","R_1Hkk0iZc8XukRXA",253,4,4,4,2,2,3,2,3,253,5,3,3,4,4,4,5,4,4,253,2,4,4,3,3,3.2,5,4,5,3,4,3,4,6,6,3,3,3,3,4,5,5,5,3,4.11111111111111,5,4,5,3,4,6,2,6,3,2,2,4,4,4,5,3,6,4,4,3.45,3.875,4.11111111111111,2.46666666666667,3.1,3.38888888888889,2.55555555555556,2.5,6.81818181818182,1.21052631578947,3.30769230769231,3.27272727272727,3.2,1.66666666666667,4.8,2.22222222222222,2.46153846153846,4.85714285714286
"31","R_1hWGRBkLc9yMH9D",66,3,3,3,4,3,3,1,2.85714285714286,66,4,2,2,3,4,4,3,2,3,66,1,2,1,1,1,1.2,4,4,2,3,3,2,3,4,4,3,3,3,3,1,4,3,4,4,3.16666666666667,2,2,1,5,4,2,3,5,3,2,3,3,1,1,3,5,5,3,2.94444444444444,2.6,2.8125,3.16666666666667,3.5,2,1.83333333333333,3.55555555555556,3.5,6.54545454545455,3.31578947368421,3.76923076923077,2.54545454545455,3.8,2.06666666666667,4.2,3.66666666666667,3.46153846153846,4.57142857142857
"32","R_1i8PMKgSv1hnAaK",237,4,2,3,4,2,2,3,2.85714285714286,237,5,3,3,2,4,4,5,3,3.625,237,2,2,3,5,3,3,5,3,1,1,5,1,2,4,1,3,1,3,1,2,2,3,2,2,2.33333333333333,4,1,2,4,4,4,5,4,2,1,2,4,1,1,4,5,5,5,3.22222222222222,3.3,3,2.33333333333333,3.53333333333333,2.1,1.94444444444444,3.77777777777778,2.66666666666667,4.72727272727273,4.05263157894737,3.69230769230769,2,1.8,3.73333333333333,4.6,2.11111111111111,4.15384615384615,3.35714285714286
"33","R_1ifyHuNOxA15fFT",99,2,2,2,3,3,4,2,2.57142857142857,99,4,3,4,4,4,4,4,3,3.75,99,4,4,4,5,5,4.4,6,3,3,4,5,5,5,4,5,2,3,3,3,3,3,3,5,3,3.77777777777778,4,4,5,3,6,5,4,4,4,5,5,3,3,5,3,4,5,3,4.16666666666667,3.8,4.1875,3.77777777777778,3.16666666666667,2.4,2.05555555555556,2.94444444444444,3.83333333333333,4.81818181818182,3.42105263157895,2.53846153846154,3.09090909090909,3.6,2.8,3.4,4.33333333333333,3.61538461538462,3.92857142857143
"34","R_1ifzS9MIh4TySeg",247,4,1,4,5,4,5,1,3.42857142857143,247,5,2,2,4,5,5,5,5,4.125,247,2,5,5,5,5,4.4,5,5,2,3,7,5,2,3,3,3,3,5,5,2,3,3,3,5,3.72222222222222,5,5,3,2,5,6,3,3,3,2,3,5,6,3,1,5,5,1,3.66666666666667,3.65,3.75,3.72222222222222,3.9,2.2,2.22222222222222,2.94444444444444,3.22222222222222,6.45454545454545,2.15789473684211,3.76923076923077,3.36363636363636,4.2,1.33333333333333,5,3.77777777777778,3.46153846153846,4.35714285714286
"35","R_1IY3rV6xu5nkmDV",86,2,2,4,4,3,4,1,2.85714285714286,86,4,2,2,4,5,2,5,3,3.375,86,1,2,2,1,3,1.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4.16666666666667,2.9,4.1875,4,1.63333333333333,4,3.83333333333333,2.83333333333333,2.55555555555556,6.18181818181818,3.36842105263158,4.23076923076923,3,1.4,2.46666666666667,4,1,1.30769230769231,4.28571428571429
"36","R_1j6ZfuzQDKV3tvf",156,4,2,4,4,4,4,2,3.42857142857143,156,5,3,4,4,4,4,3,4,3.875,156,1,3,2,2,2,2,1,1,4,1,1,1,1,1,6,1,2,1,1,1,2,1,1,2,1.61111111111111,6,5,3,5,7,4,7,4,3,1,5,3,2,4,1,5,4,2,3.94444444444444,2.95,4.0625,1.61111111111111,3.16666666666667,2.6,2.55555555555556,3.22222222222222,3.16666666666667,5.54545454545455,3.89473684210526,3.69230769230769,2.18181818181818,3.2,2.93333333333333,3,3,3.38461538461538,4.14285714285714
"37","R_1j7XgAWTcHniDw0",12,4,2,2,5,5,5,4,3.85714285714286,12,2,5,2,1,5,5,5,5,3.75,12,3,4,5,5,5,4.4,2,1,1,1,2,3,5,3,6,2,2,1,1,3,2,1,1,2,2.16666666666667,5,3,1,1,2,7,1,2,2,2,3,2,6,6,5,1,6,2,3.16666666666667,3.35,3.0625,2.16666666666667,3.2,3.2,2.88888888888889,3.94444444444444,2.72222222222222,3.63636363636364,3.21052631578947,4.46153846153846,3.63636363636364,2.2,2.4,4.4,3.44444444444444,3.38461538461538,4.71428571428571
"38","R_1kFddZZM3DojYOk",26,4,1,4,4,2,2,1,2.57142857142857,26,2,5,5,2,5,4,4,3,3.75,26,2,4,2,2,2,2.4,2,2,3,2,2,NA,1,2,2,1,2,2,2,1,2,2,2,2,NA,4,3,3,3,4,3,1,2,5,2,5,2,2,4,1,5,1,2,2.88888888888889,3.3,3.0625,NA,3.86666666666667,1.9,1.44444444444444,3.5,NA,5.18181818181818,2.68421052631579,2.92307692307692,2.72727272727273,2.2,2.46666666666667,4.2,2.77777777777778,3.53846153846154,4.07142857142857
"39","R_1laROyt3jOsDUZ5",200,4,3,4,5,4,4,3,3.85714285714286,200,4,2,2,1,4,5,5,5,3.5,200,5,3,3,4,4,3.8,7,7,3,4,7,5,5,5,6,3,3,6,3,6,6,4,5,6,5.05555555555556,4,3,5,1,6,2,3,4,5,1,4,2,4,2,7,2,7,2,3.55555555555556,3.1,3.4375,5.05555555555556,3.96666666666667,2.5,2.83333333333333,3.77777777777778,2.61111111111111,5.63636363636364,2.94736842105263,2.69230769230769,3.45454545454545,3.8,2.13333333333333,4.2,4.55555555555556,4.46153846153846,4.85714285714286
"40","R_1LhQJegb35Q3cix",226,4,3,5,4,5,4,2,3.85714285714286,226,4,2,2,2,4,5,4,4,3.375,226,2,2,1,3,2,2,6,3,5,3,1,5,5,5,5,3,5,3,3,6,2,5,6,5,4.22222222222222,2,2,7,2,4,6,3,5,4,2,5,3,2,2,5,1,7,1,3.5,2.6,3.4375,4.22222222222222,3.1,2.2,2.44444444444444,2.11111111111111,3.27777777777778,6,3.84210526315789,3.92307692307692,3.63636363636364,2.4,2.8,4.8,3.33333333333333,2,4.28571428571429
"41","R_1LOsoX80V7mCbru",38,3,3,3,4,3,2,2,2.85714285714286,38,4,1,4,2,1,4,4,4,3,38,1,4,2,2,5,2.8,5,3,4,2,3,3,2,5,5,3,2,6,2,2,2,3,3,2,3.16666666666667,4,5,4,3,6,5,3,6,3,4,5,4,3,2,2,5,6,2,4,3,4,3.16666666666667,3.16666666666667,1.7,2.33333333333333,2.05555555555556,2.88888888888889,5.18181818181818,2.89473684210526,2.92307692307692,3.63636363636364,3,2.33333333333333,1.6,3,2.53846153846154,3.57142857142857
"42","R_1LuO3RVmLAY6MZD",184,4,1,1,4,2,2,2,2.28571428571429,184,1,4,4,2,4,2,4,NA,NA,184,5,5,3,2,2,3.4,1,6,6,3,1,2,1,2,3,1,5,3,2,1,2,6,2,3,2.77777777777778,6,5,6,1,1,3,1,1,6,2,6,2,3,2,2,7,5,3,3.44444444444444,NA,3.375,2.77777777777778,2.66666666666667,3.1,2,NA,3.11111111111111,4.45454545454545,3.42105263157895,NA,3.45454545454545,2.8,3.26666666666667,3.4,NA,3.30769230769231,3.21428571428571
"43","R_1LZZ7cbhKr4GLkZ",1,4,2,4,5,4,4,2,3.57142857142857,1,4,3,5,2,3,4,4,3,3.5,1,2,2,1,1,2,1.6,3,2,4,3,3,5,2,3,4,2,3,3,3,3,7,6,2,3,3.38888888888889,4,3,2,6,7,4,6,5,4,2,2,3,2,4,1,6,5,2,3.77777777777778,2.65,3.8125,3.38888888888889,3.43333333333333,2.6,1.88888888888889,4,3.38888888888889,5.45454545454545,2.05263157894737,3.69230769230769,2.36363636363636,2.2,2.73333333333333,4,2.22222222222222,3.92307692307692,4.21428571428571
"44","R_1M4WUZF9bnkrufD",232,4,2,4,5,4,5,2,3.71428571428571,232,5,2,5,5,4,5,4,4,4.25,232,4,5,4,5,5,4.6,2,1,2,1,1,1,1,1,1,1,1,3,3,1,1,2,1,3,1.5,2,5,2,5,7,5,5,5,7,2,2,5,6,7,5,3,7,1,4.5,3.65,4.5625,1.5,3.03333333333333,3,2.55555555555556,3.88888888888889,3.66666666666667,5.27272727272727,1.57894736842105,4.38461538461539,2.90909090909091,3.6,1.8,4.8,3.55555555555556,3.76923076923077,4.71428571428571
"45","R_1mhpmWKcStiXkc4",54,2,1,1,2,4,2,1,1.85714285714286,54,2,2,1,2,5,5,4,4,3.125,54,1,2,4,4,5,3.2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.16666666666667,7,7,6,3,7,7,7,7,7,1,1,7,2,3,6,7,7,7,5.5,3.5,5.3125,1.16666666666667,3.06666666666667,3.2,3.05555555555556,3.77777777777778,1.77777777777778,5.63636363636364,4.15789473684211,3.07692307692308,4.18181818181818,1,3,2.8,1.66666666666667,4,3.71428571428571
"46","R_1mkH2m0aLrjqVZQ",151,4,2,4,4,4,4,3,3.57142857142857,151,3,1,3,2,2,5,3,2,2.625,151,1,5,2,5,4,3.4,5,5,4,3,5,4,3,5,5,5,5,5,5,4,5,5,4,7,4.66666666666667,5,5,3,3,5,5,6,5,6,5,2,4,3,3,3,6,7,3,4.38888888888889,2.75,4.3125,4.66666666666667,2.63333333333333,2.5,2.77777777777778,3.38888888888889,2.66666666666667,6.45454545454545,3.31578947368421,3.23076923076923,2.63636363636364,3,1.93333333333333,3.6,1.55555555555556,3.76923076923077,4.64285714285714
